,name,prices,offers,reviews
0,Gritstones - Yellow Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  489,69% Off,(15)
1,Rigo - Dark Grey Cotton Slim Fit Men's T-Shirt ( Pack of 1 ),Rs.  329,70% Off,(139)
2,UrbanMark Men Regular Fit Round Neck Half Sleeves Graphic Print T Shirt-Green,Rs.  269,62% Off,(106)
3,YHA - Dark Green Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),Rs.  359,71% Off,(35)
4,Difference of Opinion - Green Cotton Oversized Fit Men's T-Shirt ( Pack of 1 ),Rs.  379,53% Off,(75)
5,Bewakoof - Black Cotton Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  339,74% Off,(47)
6,Bewakoof - White Cotton Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  339,69% Off,(54)
7,Dillinger - Coffee 100% Cotton Oversized Fit Men's T-Shirt ( Pack of 1 ),Rs.  349,56% Off,(52)
8,UrbanMark Men 100% Cotton Half Sleeves Regular Fit Solid Polo T Shirt-Sky Blue,Rs.  309,61% Off,(225)
9,UrbanMark Men 100% Cotton Regular Fit Round Neck Half Sleeves Striped T Shirt-White,Rs.  359,64% Off,(40)
10,Dillinger - Pink Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  419,66% Off,(27)
11,AUSTIZ - Black Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  299,70% Off,(13)
12,UrbanMark Men Half Sleeves Regular Fit Colorblock Polo Tshirt -Black,Rs.  549,61% Off,(15)
13,Dillinger - Purple 100% Cotton Oversized Fit Men's T-Shirt ( Pack of 1 ),Rs.  349,56% Off,(79)
14,Glito - White Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  299,70% Off,(106)
15,GESPO - Sky Blue Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  319,79% Off,(104)
16,AUSK - Black Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  369,75% Off,(110)
17,UNIBERRY - Maroon Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  209,79% Off,(88)
18,UrbanMark Men Regular Fit Round Neck Half Sleeves Graphic Print T Shirt-Black,Rs.  269,66% Off,(18)
19,OGEN - Blue Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  259,78% Off,(75)
20,Gritstones - Yellow Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),Rs.  489,69% Off,(15)
21,Rigo - Dark Grey Cotton Slim Fit Men's T-Shirt ( Pack of 1 ),Rs.  329,70% Off,(139)
